embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split,evaluation_label,classifier,rule_name,embryo_call
sim_0189,normal,9.434948049008275,22,1,0,0.2890980826074275,6.360157817363405,0.18014563472842846,3.9632039640254257,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0190,abnormal,19.84846904310608,22,3,1,0.29477272027133666,6.484999845969407,0.2725276377598178,5.995608030715992,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0191,abnormal,9.68542363077238,22,3,0,0.32442749618577205,7.137404916086985,0.21463970830362464,4.722073582679743,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0195,normal,8.545736921786595,22,1,0,0.26425619992024774,5.813636398245451,0.14974168533143256,3.2943170772915167,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0197,normal,7.865421238752798,22,1,0,0.2821428548289141,6.20714280623611,0.15295826311119273,3.36508178844624,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0201,ambiguous,9.766889199482259,22,3,0,0.327234056354766,7.199149239804852,0.1992667411175522,4.383868304586148,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0202,abnormal,8.020174768301313,22,0,0,0.2287711889667389,5.032966157268256,0.14140281271769906,3.1108618797893794,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0203,normal,10.048097675064206,22,0,0,0.18994038346325662,4.178688436191646,0.1358951551567419,2.9896934134483217,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0204,ambiguous,17.681873000284952,22,1,0,0.1618081994281532,3.5597803874193703,0.15013129353321608,3.302888457730754,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0214,normal,10.242185150214084,22,2,0,0.26090883538505233,5.739994378471152,0.18068489181133646,3.9750676198494017,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0216,abnormal,10.712755268120896,22,3,0,0.3076744749392166,6.768838448662766,0.21546501100092305,4.740230242020307,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0218,normal,8.734365167971147,22,3,0,0.3669441633021763,8.072771592647879,0.19378867114611625,4.2633507652145575,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0221,normal,14.610055464942484,22,2,0,0.27717463544049825,6.097841979690961,0.21850875257434013,4.807192556635482,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
